,userno,Moviepred,predratings,movieold,movieoldratings
0,100.0,"Karate Kid, The (2010)",5.0,Christmas Vacation (National Lampoon's Christmas Vacation) (1989),5.0
1,100.0,Josie and the Pussycats (2001),5.0,Sweet Home Alabama (2002),5.0
2,100.0,Jaws 3-D (1983),5.0,"Officer and a Gentleman, An (1982)",5.0
3,100.0,Tomcats (2001),5.0,Terms of Endearment (1983),5.0
4,100.0,Ernest Scared Stupid (1991),5.0,Top Gun (1986),5.0
5,263.0,Man Bites Dog (C'est arrivé près de chez vous) (1992),5.0,Dangerous Beauty (1998),5.0
6,263.0,Mary and Max (2009),4.993333831711908,Shall We Dance (1937),5.0
7,263.0,Kung Fury (2015),4.91678831017695,"Grand Day Out with Wallace and Gromit, A (1989)",5.0
8,263.0,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),4.763849445140936,L.A. Confidential (1997),5.0
9,263.0,The Lego Batman Movie (2017),4.716077817295734,Sense and Sensibility (1995),5.0
10,26.0,Louis C.K.: Shameless (2007),4.725578990684799,Seven (a.k.a. Se7en) (1995),4.0
11,26.0,"Fast Five (Fast and the Furious 5, The) (2011)",4.380404414016024,Pulp Fiction (1994),4.0
12,26.0,True Grit (1969),4.317126672224459,Die Hard: With a Vengeance (1995),4.0
13,26.0,Chronicle (2012),4.305132688090575,"Silence of the Lambs, The (1991)",4.0
14,26.0,Louis C.K.: Live at the Beacon Theater (2011),4.2726257772278275,"Firm, The (1993)",4.0
15,45.0,Yojimbo (1961),5.0,Office Space (1999),5.0
16,45.0,"Three Billboards Outside Ebbing, Missouri (2017)",5.0,Toy Story 2 (1999),5.0
17,45.0,"Charlie Brown Christmas, A (1965)",5.0,"Matrix, The (1999)",5.0
18,45.0,True Grit (1969),4.9088171886106595,Ocean's Thirteen (2007),5.0
19,45.0,Man Bites Dog (C'est arrivé près de chez vous) (1992),4.880376979738945,Braveheart (1995),5.0
20,511.0,Muppets From Space (1999),5.0,Schindler's List (1993),5.0
21,511.0,True Grit (1969),5.0,"Matrix, The (1999)",5.0
22,511.0,"Three Billboards Outside Ebbing, Missouri (2017)",5.0,Intouchables (2011),5.0
23,511.0,"General, The (1926)",5.0,The Revenant (2015),5.0
24,511.0,Lifeboat (1944),5.0,"Dark Knight Rises, The (2012)",5.0
25,454.0,Louis C.K.: Chewed Up (2008),5.0,Harold and Maude (1971),5.0
26,454.0,How to Lose Friends & Alienate People (2008),5.0,Rear Window (1954),5.0
27,454.0,Jackass Number Two (2006),5.0,American Beauty (1999),5.0
28,454.0,"Charlie Brown Christmas, A (1965)",5.0,Diabolique (Les diaboliques) (1955),5.0
29,454.0,Jackass 3D (2010),4.988596857004165,Jacob's Ladder (1990),4.5
30,303.0,Maze Runner: Scorch Trials (2015),5.0,Mad Max (1979),5.0
31,303.0,Titanic (1953),5.0,Men in Black (a.k.a. MIB) (1997),5.0
32,303.0,Cheech and Chong's Up in Smoke (1978),5.0,Star Wars: Episode V - The Empire Strikes Back (1980),5.0
33,303.0,Louis C.K.: Shameless (2007),5.0,E.T. the Extra-Terrestrial (1982),5.0
34,303.0,"Twilight Saga: Breaking Dawn - Part 1, The (2011)",5.0,Star Trek II: The Wrath of Khan (1982),5.0
35,340.0,Furious 7 (2015),5.0,Star Trek: Generations (1994),5.0
36,340.0,"Twilight Saga: Breaking Dawn - Part 1, The (2011)",5.0,"Shawshank Redemption, The (1994)",5.0
37,340.0,"Fast Five (Fast and the Furious 5, The) (2011)",5.0,Batman (1989),5.0
38,340.0,"Texas Chainsaw Massacre, The (2003)",5.0,Jurassic Park (1993),5.0
39,340.0,Louis C.K.: Shameless (2007),5.0,Dances with Wolves (1990),5.0
40,590.0,Man Bites Dog (C'est arrivé près de chez vous) (1992),4.582953726128452,High Noon (1952),5.0
41,590.0,Paths of Glory (1957),4.3469886382960325,Schindler's List (1993),5.0
42,590.0,"Three Billboards Outside Ebbing, Missouri (2017)",4.322499255713795,To Kill a Mockingbird (1962),5.0
43,590.0,"Charlie Brown Christmas, A (1965)",4.315836544819302,Psycho (1960),5.0
44,590.0,"General, The (1926)",4.291401870688402,12 Angry Men (1957),5.0
45,199.0,Man Bites Dog (C'est arrivé près de chez vous) (1992),4.85990553688595,Casablanca (1942),5.0
46,199.0,Furious 7 (2015),4.800334153493829,American Beauty (1999),5.0
47,199.0,"Fast Five (Fast and the Furious 5, The) (2011)",4.797394054767587,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),5.0
48,199.0,Titanic (1953),4.550813341750523,L.A. Confidential (1997),5.0
49,199.0,The Lego Batman Movie (2017),4.525214271478742,Airplane! (1980),5.0
